Id,Season,City,Date,Team1,Team2,Toss_Winner,Toss_Decision,Result,DL_Applied,Winner,Win_By_Runs,Win_By_Wickets,Player_Of_Match,Venue,Umpire1,Umpire2,Umpire3
317578,2007/08,NA,30-11-07,Zimbabwe,West Indies,West Indies,Field,Normal,No,Zimbabwe,30,0,CJ Chibhabha,Harare Sports Club,KC Barbour,BG Jerling,ID Robinson
317579,2007/08,NA,02-12-07,Zimbabwe,West Indies,Zimbabwe,Field,Normal,No,West Indies,110,0,RS Morton,Harare Sports Club,BG Jerling,RB Tiffin,ID Robinson
317581,2007/08,Bulawayo,07-12-07,Zimbabwe,West Indies,West Indies,Field,Normal,No,West Indies,0,5,JE Taylor,Queens Sports Club,BG Jerling,RB Tiffin,KC Barbour
319134,2007/08,Trinidad,10-04-08,West Indies,Sri Lanka,West Indies,Field,Normal,No,West Indies,0,1,DJ Bravo,Queen's Park Oval,CR Duncan,SJA Taufel,GE Greaves
319135,2007/08,Trinidad,12-04-08,West Indies,Sri Lanka,West Indies,Field,D/L,Yes,West Indies,0,7,S Chanderpaul,Queen's Park Oval,CR Duncan,SJA Taufel,GE Greaves
319136,2007/08,St Lucia,15-04-08,West Indies,Sri Lanka,West Indies,Field,Normal,No,NA,0,0,NA,Beausejour Stadium,CR Duncan,SJA Taufel,GE Greaves
319143,2008,St Vincent,24-06-08,West Indies,Australia,West Indies,Field,Normal,No,Australia,84,0,SE Marsh,Arnos Vale Ground,Asad Rauf,BR Doctrove,CR Duncan
319144,2008,Grenada,27-06-08,West Indies,Australia,Australia,Bat,D/L,Yes,Australia,63,0,MJ Clarke,National Cricket Stadium,Asad Rauf,NA Malcolm,BR Doctrove
319145,2008,Grenada,29-06-08,West Indies,Australia,Australia,Field,Normal,No,Australia,0,7,SR Watson,National Cricket Stadium,Asad Rauf,NA Malcolm,BR Doctrove
319146,2008,St Kitts,04-07-08,West Indies,Australia,West Indies,Field,Normal,No,Australia,1,0,A Symonds,Warner Park,Asad Rauf,SA Bucknor,NA Malcolm
319147,2008,St Kitts,06-07-08,West Indies,Australia,Australia,Bat,Normal,No,Australia,169,0,L Ronchi,Warner Park,Asad Rauf,SA Bucknor,NA Malcolm
323949,2007/08,NA,09-03-08,Bangladesh,South Africa,Bangladesh,Bat,Normal,No,South Africa,0,9,GC Smith,Chittagong Divisional Stadium,Aleem Dar,Enamul Haque,AFM Akhtaruddin
323950,2007/08,Mirpur,12-03-08,Bangladesh,South Africa,Bangladesh,Bat,Normal,No,South Africa,0,7,A Nel,Shere Bangla National Stadium,Aleem Dar,Nadir Shah,AFM Akhtaruddin
323951,2007/08,Mirpur,14-03-08,Bangladesh,South Africa,Bangladesh,Bat,Normal,No,South Africa,0,7,JA Morkel,Shere Bangla National Stadium,Aleem Dar,Nadir Shah,AFM Akhtaruddin
325569,2008,King City,29-06-08,Canada,Bermuda,Canada,Field,D/L,Yes,Bermuda,11,0,S Dhaniram,Maple Leaf North-West Ground,GAV Baxter,R Dill,NA
325572,2008,Ayr,12-08-08,Scotland,Kenya,Scotland,Field,Normal,No,NA,0,0,NA,Cambusdoon New Ground,PK Baldwin,SJA Taufel,NA
325576,2008,Belfast,25-08-08,Ireland,Kenya,Kenya,Field,Normal,No,NA,0,0,NA,Civil Service Cricket Club,PJ Hartley,IN Ramage,NA
325579,2008,Dublin,29-07-08,Netherlands,Scotland,Netherlands,Bat,Normal,No,Scotland,0,6,NA,Clontarf Cricket Club Ground,PK Baldwin,BF Bowden,NA
325580,2008,Dublin,31-07-08,Ireland,Scotland,Ireland,Field,D/L,Yes,Ireland,0,7,NA,Clontarf Cricket Club Ground,PK Baldwin,BF Bowden,NA
325581,2008/09,Nairobi,17-10-08,Ireland,Zimbabwe,Zimbabwe,Bat,Normal,No,Zimbabwe,156,0,NA,Gymkhana Club Ground,M Erasmus,RB Tiffin,NA
325800,2007/08,Karachi,21-01-08,Pakistan,Zimbabwe,Zimbabwe,Field,Normal,No,Pakistan,104,0,Nasir Jamshed,National Stadium,EAR de Silva,Zameer Haider,Riazuddin
325801,2007/08,Sind,24-01-08,Pakistan,Zimbabwe,Zimbabwe,Bat,Normal,No,Pakistan,0,5,Sohail Tanvir,Niaz Stadium,EAR de Silva,Nadeem Ghauri,Riazuddin
325802,2007/08,NA,27-01-08,Pakistan,Zimbabwe,Pakistan,Bat,Normal,No,Pakistan,37,0,Shahid Afridi,Multan Cricket Stadium,EAR de Silva,Nadeem Ghauri,Zameer Haider
325803,2007/08,Faisalabad,30-01-08,Pakistan,Zimbabwe,Zimbabwe,Bat,Normal,No,Pakistan,0,7,Shoaib Malik,Iqbal Stadium,Aleem Dar,EAR de Silva,Zameer Haider
325804,2007/08,NA,02-02-08,Pakistan,Zimbabwe,Zimbabwe,Bat,Normal,No,Pakistan,0,7,Younis Khan,Sheikhupura Stadium,Aleem Dar,EAR de Silva,Nadeem Ghauri
335346,2008,Lahore,24-06-08,Bangladesh,United Arab Emirates,Bangladesh,Bat,Normal,No,Bangladesh,96,0,Mohammad Ashraful,Gaddafi Stadium,IJ Gould,SJA Taufel,Zameer Haider
335347,2008,Karachi,24-06-08,Pakistan,Hong Kong,Pakistan,Bat,Normal,No,Pakistan,155,0,Sohail Tanvir,National Stadium,AL Hill,BG Jerling,AM Saheba
335348,2008,Lahore,25-06-08,Bangladesh,Sri Lanka,Bangladesh,Field,Normal,No,Sri Lanka,131,0,KC Sangakkara,Gaddafi Stadium,IJ Gould,SJA Taufel,Zameer Haider
335349,2008,Karachi,25-06-08,Hong Kong,India,India,Bat,Normal,No,India,256,0,SK Raina,National Stadium,AL Hill,BG Jerling,MG Silva
335350,2008,Lahore,26-06-08,Sri Lanka,United Arab Emirates,Sri Lanka,Bat,Normal,No,Sri Lanka,142,0,BAW Mendis,Gaddafi Stadium,IJ Gould,SJA Taufel,AM Saheba
335351,2008,Karachi,26-06-08,Pakistan,India,Pakistan,Bat,Normal,No,India,0,6,SK Raina,National Stadium,AL Hill,BG Jerling,AFM Akhtaruddin
335352,2008,Karachi,28-06-08,Bangladesh,India,Bangladesh,Bat,Normal,No,India,0,7,SK Raina,National Stadium,BG Jerling,SJA Taufel,MG Silva
335353,2008,Karachi,29-06-08,Pakistan,Sri Lanka,Pakistan,Field,Normal,No,Sri Lanka,64,0,KC Sangakkara,National Stadium,IJ Gould,AL Hill,AFM Akhtaruddin
335354,2008,Karachi,30-06-08,Bangladesh,Sri Lanka,Sri Lanka,Bat,Normal,No,Sri Lanka,158,0,ST Jayasuriya,National Stadium,BG Jerling,SJA Taufel,AM Saheba
335355,2008,Karachi,02-07-08,Pakistan,India,India,Bat,Normal,No,Pakistan,0,8,Younis Khan,National Stadium,IJ Gould,AL Hill,AFM Akhtaruddin
335356,2008,Karachi,03-07-08,India,Sri Lanka,Sri Lanka,Bat,Normal,No,India,0,6,MS Dhoni,National Stadium,BG Jerling,SJA Taufel,Zameer Haider
335357,2008,Karachi,04-07-08,Pakistan,Bangladesh,Bangladesh,Bat,Normal,No,Pakistan,0,10,Abdur Rauf,National Stadium,IJ Gould,AL Hill,MG Silva
335358,2008,Karachi,06-07-08,India,Sri Lanka,India,Field,Normal,No,Sri Lanka,100,0,BAW Mendis,National Stadium,AL Hill,SJA Taufel,Zameer Haider
336201,2008,Darwin,30-08-08,Australia,Bangladesh,Bangladesh,Field,Normal,No,Australia,180,0,MEK Hussey,Marrara Cricket Ground,PD Parker,AM Saheba,BNJ Oxenford
336202,2008,Darwin,03-09-08,Australia,Bangladesh,Bangladesh,Bat,Normal,No,Australia,0,8,SE Marsh,Marrara Cricket Ground,BNJ Oxenford,AM Saheba,RJ Tucker
336204,2008,Darwin,06-09-08,Australia,Bangladesh,Australia,Bat,Normal,No,Australia,73,0,Tamim Iqbal,Marrara Cricket Ground,PD Parker,AM Saheba,RJ Tucker
343732,2008,NA,18-08-08,Sri Lanka,India,India,Bat,Normal,No,Sri Lanka,0,8,BAW Mendis,Rangiri Dambulla International Stadium,EAR de Silva,BR Doctrove,MG Silva
343733,2008,NA,20-08-08,Sri Lanka,India,India,Field,Normal,No,India,0,3,Z Khan,Rangiri Dambulla International Stadium,BR Doctrove,MG Silva,TH Wijewardene
343734,2008,Colombo,24-08-08,Sri Lanka,India,India,Bat,Normal,No,India,33,0,MS Dhoni,R Premadasa Stadium,BR Doctrove,TH Wijewardene,MG Silva
343736,2008,Colombo,29-08-08,Sri Lanka,India,Sri Lanka,Bat,D/L,Yes,Sri Lanka,112,0,KMDN Kulasekara,R Premadasa Stadium,BR Doctrove,TH Wijewardene,MG Silva
343759,2007/08,Lahore,08-04-08,Pakistan,Bangladesh,Pakistan,Bat,D/L,Yes,Pakistan,152,0,Mohammad Yousuf,Gaddafi Stadium,Aleem Dar,SA Bucknor,Zameer Haider
343760,2007/08,Faisalabad,11-04-08,Pakistan,Bangladesh,Bangladesh,Bat,D/L,Yes,Pakistan,0,7,Salman Butt,Iqbal Stadium,Aleem Dar,SA Bucknor,Nadeem Ghauri
343761,2007/08,Lahore,13-04-08,Pakistan,Bangladesh,Pakistan,Bat,Normal,No,Pakistan,23,0,Salman Butt,Gaddafi Stadium,SA Bucknor,Nadeem Ghauri,Zameer Haider
343762,2007/08,NA,16-04-08,Pakistan,Bangladesh,Bangladesh,Bat,Normal,No,Pakistan,0,7,Shakib Al Hasan,Multan Cricket Stadium,SA Bucknor,Zameer Haider,Nadeem Ghauri
343763,2007/08,Karachi,19-04-08,Pakistan,Bangladesh,Pakistan,Bat,Normal,No,Pakistan,150,0,Mohammad Asif,National Stadium,SA Bucknor,Nadeem Ghauri,Zameer Haider
345468,2008,Mirpur,08-06-08,Bangladesh,Pakistan,Bangladesh,Field,Normal,No,Pakistan,70,0,Salman Butt,Shere Bangla National Stadium,EAR de Silva,Enamul Haque,AFM Akhtaruddin
345469,2008,Mirpur,10-06-08,India,Pakistan,India,Bat,Normal,No,India,140,0,V Sehwag,Shere Bangla National Stadium,EAR de Silva,Enamul Haque,AFM Akhtaruddin
345470,2008,Mirpur,12-06-08,Bangladesh,India,Bangladesh,Bat,Normal,No,India,0,7,G Gambhir,Shere Bangla National Stadium,EAR de Silva,Nadir Shah,AFM Akhtaruddin
345471,2008,Mirpur,14-06-08,India,Pakistan,Pakistan,Bat,Normal,No,Pakistan,25,0,Younis Khan,Shere Bangla National Stadium,EAR de Silva,Nadir Shah,AFM Akhtaruddin
350043,2009,London,04-09-09,England,Australia,England,Field,Normal,No,Australia,4,0,CJ Ferguson,Kennington Oval,AL Hill,NJ Llong,PJ Hartley
350044,2009,London,06-09-09,England,Australia,England,Field,Normal,No,Australia,39,0,MG Johnson,Lord's,IJ Gould,AL Hill,NJ Llong
350045,2009,Southampton,09-09-09,England,Australia,England,Bat,Normal,No,Australia,0,6,CL White,The Rose Bowl,PJ Hartley,AL Hill,RA Kettleborough
350046,2009,London,12-09-09,England,Australia,England,Bat,Normal,No,Australia,0,7,B Lee,Lord's,Asad Rauf,NJ Llong,IJ Gould
350047,2009,Nottingham,15-09-09,England,Australia,England,Bat,Normal,No,Australia,0,4,RT Ponting,Trent Bridge,Asad Rauf,RA Kettleborough,NJ Llong
350048,2009,Nottingham,17-09-09,England,Australia,Australia,Bat,Normal,No,Australia,111,0,TD Paine,Trent Bridge,Asad Rauf,NJ Llong,RA Kettleborough
350049,2009,Chester-le-Street,20-09-09,England,Australia,England,Field,Normal,No,England,0,4,GP Swann,Riverside Ground,Asad Rauf,NJ Llong,PJ Hartley
350348,2008/09,Potchefstroom,07-11-08,South Africa,Bangladesh,South Africa,Bat,Normal,No,South Africa,61,0,DW Steyn,Senwes Park,M Erasmus,NJ Llong,IL Howell
350477,2008/09,Durban,03-04-09,South Africa,Australia,Australia,Bat,Normal,No,Australia,141,0,MEK Hussey,Kingsmead,EAR de Silva,RE Koertzen,BG Jerling
350478,2008/09,Centurion,05-04-09,South Africa,Australia,Australia,Bat,Normal,No,South Africa,0,7,WD Parnell,SuperSport Park,EAR de Silva,BG Jerling,RE Koertzen
350479,2008/09,Cape Town,09-04-09,South Africa,Australia,South Africa,Bat,Normal,No,South Africa,25,0,JH Kallis,Newlands,EAR de Silva,RE Koertzen,BG Jerling
350480,2008/09,Port Elizabeth,13-04-09,South Africa,Australia,Australia,Field,Normal,No,South Africa,61,0,HH Gibbs,St George's Park,EAR de Silva,BG Jerling,RE Koertzen
350481,2008/09,Johannesburg,17-04-09,South Africa,Australia,South Africa,Field,Normal,No,Australia,47,0,NM Hauritz,New Wanderers Stadium,EAR de Silva,RE Koertzen,BG Jerling
351684,2008/09,NA,16-01-09,Australia,South Africa,Australia,Bat,Normal,No,South Africa,0,3,JA Morkel,Melbourne Cricket Ground,IJ Gould,BNJ Oxenford,RJ Tucker
351685,2008/09,Hobart,18-01-09,Australia,South Africa,South Africa,Field,Normal,No,Australia,5,0,SE Marsh,Bellerive Oval,IJ Gould,RJ Tucker,PR Reiffel
351686,2008/09,NA,23-01-09,Australia,South Africa,Australia,Bat,Normal,No,South Africa,0,3,JA Morkel,Sydney Cricket Ground,IJ Gould,RJ Tucker,BNJ Oxenford
351687,2008/09,NA,26-01-09,Australia,South Africa,Australia,Bat,Normal,No,South Africa,0,8,AB de Villiers,Adelaide Oval,IJ Gould,DJ Harper,BNJ Oxenford
351688,2008/09,Perth,30-01-09,Australia,South Africa,South Africa,Bat,Normal,No,South Africa,39,0,HM Amla,Western Australia Cricket Association Ground,IJ Gould,BNJ Oxenford,PR Reiffel
351689,2008/09,Perth,01-02-09,Australia,New Zealand,Australia,Bat,Normal,No,New Zealand,0,2,KD Mills,Western Australia Cricket Association Ground,SA Bucknor,BNJ Oxenford,PR Reiffel
351690,2008/09,NA,06-02-09,Australia,New Zealand,New Zealand,Field,Normal,No,New Zealand,0,6,MJ Clarke,Melbourne Cricket Ground,SA Bucknor,PR Reiffel,RJ Tucker
351691,2008/09,NA,08-02-09,Australia,New Zealand,New Zealand,Field,Normal,No,Australia,32,0,BJ Haddin,Sydney Cricket Ground,SA Bucknor,SJA Taufel,RJ Tucker
351692,2008/09,NA,10-02-09,Australia,New Zealand,New Zealand,Bat,Normal,No,Australia,0,6,DJ Hussey,Adelaide Oval,SA Bucknor,SJ Davis,PR Reiffel
351693,2008/09,Brisbane,13-02-09,Australia,New Zealand,New Zealand,Field,Normal,No,NA,0,0,NA,Brisbane Cricket Ground,SA Bucknor,RJ Tucker,BNJ Oxenford
352665,2008/09,Guyana,20-03-09,West Indies,England,England,Bat,D/L,Yes,England,1,0,PD Collingwood,Providence Stadium,Aleem Dar,CR Duncan,CE Mack
352666,2008/09,Guyana,22-03-09,West Indies,England,West Indies,Bat,Normal,No,West Indies,21,0,S Chanderpaul,Providence Stadium,Aleem Dar,CR Duncan,CE Mack
352667,2008/09,Barbados,27-03-09,West Indies,England,West Indies,Field,D/L,Yes,West Indies,0,8,DJ Bravo,Kensington Oval,SA Bucknor,SJ Davis,NA Malcolm
352668,2008/09,Barbados,29-03-09,West Indies,England,England,Field,D/L,Yes,England,0,9,AJ Strauss,Kensington Oval,SA Bucknor,SJ Davis,NA Malcolm
352669,2008/09,St Lucia,03-04-09,West Indies,England,West Indies,Field,Normal,No,England,26,0,A Flintoff,Beausejour Stadium,SJ Davis,NA Malcolm,GE Greaves
360800,2008/09,Bloemfontein,31-10-08,South Africa,Kenya,South Africa,Bat,Normal,No,South Africa,159,0,JP Duminy,OUTsurance Oval,M Erasmus,NJ Llong,BG Jerling
361043,2008/09,Rajkot,14-11-08,India,England,England,Field,Normal,No,India,158,0,Yuvraj Singh,Madhavrao Scindia Cricket Ground,AM Saheba,RB Tiffin,SL Shastri
361044,2008/09,Indore,17-11-08,India,England,India,Bat,Normal,No,India,54,0,Yuvraj Singh,Maharani Usharaje Trust Cricket Ground,AM Saheba,RB Tiffin,SL Shastri
361045,2008/09,Kanpur,20-11-08,India,England,England,Bat,D/L,Yes,India,16,0,Harbhajan Singh,Green Park,AM Saheba,RB Tiffin,SL Shastri
361046,2008/09,Bangalore,23-11-08,India,England,England,Field,D/L,Yes,India,19,0,V Sehwag,M Chinnaswamy Stadium,DJ Harper,AM Saheba,SK Tarapore
361047,2008/09,Cuttack,26-11-08,India,England,India,Field,Normal,No,India,0,6,V Sehwag,Barabati Stadium,DJ Harper,AM Saheba,SK Tarapore
366341,2008,Colombo,27-08-08,Sri Lanka,India,India,Bat,Normal,No,India,46,0,SK Raina,R Premadasa Stadium,BR Doctrove,MG Silva,TH Wijewardene
366623,2008/09,Napier,03-03-09,New Zealand,India,India,Bat,D/L,Yes,India,53,0,MS Dhoni,McLean Park,AL Hill,RE Koertzen,GAV Baxter
366624,2008/09,Hamilton,11-03-09,New Zealand,India,New Zealand,Bat,D/L,Yes,India,84,0,V Sehwag,Seddon Park,GAV Baxter,RE Koertzen,EA Watkin
366625,2008/09,Auckland,14-03-09,New Zealand,India,India,Bat,Normal,No,New Zealand,0,8,JD Ryder,Eden Park,GAV Baxter,RE Koertzen,EA Watkin
366626,2008/09,Wellington,06-03-09,New Zealand,India,India,Bat,Normal,No,NA,0,0,NA,Westpac Stadium,RE Koertzen,EA Watkin,GAV Baxter
366627,2008/09,Christchurch,08-03-09,New Zealand,India,New Zealand,Field,Normal,No,India,58,0,SR Tendulkar,AMI Stadium,GAV Baxter,RE Koertzen,EA Watkin
366709,2008/09,NA,31-12-08,New Zealand,West Indies,New Zealand,Field,Normal,No,NA,0,0,NA,Queenstown Events Centre,MR Benson,AL Hill,EA Watkin
366711,2008/09,Wellington,07-01-09,New Zealand,West Indies,New Zealand,Field,Normal,No,New Zealand,0,7,DL Vettori,Westpac Stadium,MR Benson,AL Hill,GAV Baxter
374059,2008/09,Abu Dhabi,12-11-08,Pakistan,West Indies,West Indies,Bat,Normal,No,Pakistan,0,4,CH Gayle,Sheikh Zayed Stadium,MR Benson,SJ Davis,DJ Harper
374060,2008/09,Abu Dhabi,14-11-08,Pakistan,West Indies,Pakistan,Bat,Normal,No,Pakistan,24,0,Sohail Tanvir,Sheikh Zayed Stadium,SJ Davis,DJ Harper,MR Benson
375456,2008/09,NA,20-11-08,Zimbabwe,Sri Lanka,Sri Lanka,Field,Normal,No,Sri Lanka,0,6,M Muralitharan,Harare Sports Club,Aleem Dar,KC Barbour,O Chirombe
375457,2008/09,NA,22-11-08,Zimbabwe,Sri Lanka,Zimbabwe,Bat,Normal,No,Sri Lanka,0,9,BAW Mendis,Harare Sports Club,Aleem Dar,KC Barbour,O Chirombe
375460,2008/09,NA,24-11-08,Zimbabwe,Sri Lanka,Zimbabwe,Field,Normal,No,Sri Lanka,5,0,H Masakadza,Harare Sports Club,Aleem Dar,RB Tiffin,KC Barbour
375462,2008/09,NA,30-11-08,Zimbabwe,Sri Lanka,Zimbabwe,Field,Normal,No,Sri Lanka,19,0,M Muralitharan,Harare Sports Club,KC Barbour,RB Tiffin,TJ Tapfumaneyi
377313,2009,Jamaica,26-06-09,West Indies,India,India,Bat,Normal,No,India,20,0,Yuvraj Singh,Sabina Park,NJ Llong,NA Malcolm,CE Mack
377314,2009,Jamaica,28-06-09,West Indies,India,India,Bat,Normal,No,West Indies,0,8,R Rampaul,Sabina Park,NJ Llong,NA Malcolm,CE Mack
377315,2009,St Lucia,03-07-09,West Indies,India,India,Field,D/L,Yes,India,0,6,MS Dhoni,Beausejour Stadium,CR Duncan,NJ Llong,GE Greaves
377316,2009,St Lucia,05-07-09,West Indies,India,India,Field,Normal,No,NA,0,0,NA,Beausejour Stadium,CR Duncan,NJ Llong,GE Greaves
378753,2008/09,Mirpur,10-01-09,Bangladesh,Zimbabwe,Bangladesh,Field,Normal,No,Zimbabwe,38,0,E Chigumbura,Shere Bangla National Stadium,BR Doctrove,Nadir Shah,AFM Akhtaruddin
378755,2008/09,Mirpur,14-01-09,Bangladesh,Sri Lanka,Bangladesh,Field,Normal,No,Bangladesh,0,5,Shakib Al Hasan,Shere Bangla National Stadium,BR Doctrove,Nadir Shah,AFM Akhtaruddin
378759,2008/09,Mirpur,23-01-09,Bangladesh,Zimbabwe,Bangladesh,Field,Normal,No,Bangladesh,0,6,Mashrafe Mortaza,Shere Bangla National Stadium,Enamul Haque,Zameer Haider,AFM Akhtaruddin
380715,2009,Bristol,24-05-09,England,West Indies,England,Field,Normal,No,England,0,6,PD Collingwood,County Ground,EAR de Silva,PJ Hartley,IJ Gould
380716,2009,Birmingham,26-05-09,England,West Indies,West Indies,Field,Normal,No,England,58,0,MJ Prior,Edgbaston,SJ Davis,IJ Gould,NJ Llong
383275,2009,Belfast,27-08-09,Ireland,England,England,Bat,D/L,Yes,England,3,0,DT Johnston,Civil Service Cricket Club,Asad Rauf,PK Baldwin,NA
385025,2008/09,Nairobi,31-01-09,Kenya,Zimbabwe,Kenya,Bat,Normal,No,Zimbabwe,0,4,NA,Gymkhana Club Ground,SR Modi,TH Wijewardene,NA
385749,2008/09,Karachi,20-01-09,Pakistan,Sri Lanka,Sri Lanka,Bat,Normal,No,Pakistan,0,8,Salman Butt,National Stadium,NJ Llong,Nadeem Ghauri,Ahsan Raza
385750,2008/09,Karachi,21-01-09,Pakistan,Sri Lanka,Pakistan,Field,Normal,No,Sri Lanka,129,0,TM Dilshan,National Stadium,Asad Rauf,NJ Llong,NA
385751,2008/09,Lahore,24-01-09,Pakistan,Sri Lanka,Sri Lanka,Bat,Normal,No,Sri Lanka,234,0,TM Dilshan,Gaddafi Stadium,Asad Rauf,NJ Llong,Nadeem Ghauri
386530,2008/09,NA,28-01-09,Sri Lanka,India,India,Field,Normal,No,India,0,6,ST Jayasuriya,Rangiri Dambulla International Stadium,HDPK Dharmasena,BG Jerling,MG Silva
386531,2008/09,Colombo,31-01-09,Sri Lanka,India,India,Bat,Normal,No,India,15,0,I Sharma,R Premadasa Stadium,BG Jerling,MG Silva,HDPK Dharmasena
386532,2008/09,Colombo,03-02-09,Sri Lanka,India,India,Bat,Normal,No,India,147,0,Yuvraj Singh,R Premadasa Stadium,BG Jerling,MG Silva,HDPK Dharmasena
386533,2008/09,Colombo,05-02-09,Sri Lanka,India,India,Bat,Normal,No,India,67,0,G Gambhir,R Premadasa Stadium,HDPK Dharmasena,BG Jerling,MG Silva
386534,2008/09,Colombo,08-02-09,Sri Lanka,India,Sri Lanka,Bat,Normal,No,Sri Lanka,68,0,KC Sangakkara,R Premadasa Stadium,BG Jerling,TH Wijewardene,HDPK Dharmasena
387566,2009/10,Centurion,22-11-09,South Africa,England,England,Field,Normal,No,England,0,7,PD Collingwood,SuperSport Park,BG Jerling,RJ Tucker,M Erasmus
387567,2009/10,Cape Town,27-11-09,South Africa,England,South Africa,Bat,Normal,No,South Africa,112,0,AB de Villiers,Newlands,M Erasmus,RJ Tucker,BG Jerling
387568,2009/10,Port Elizabeth,29-11-09,South Africa,England,South Africa,Bat,Normal,No,England,0,7,JM Anderson,St George's Park,BG Jerling,RJ Tucker,JD Cloete
390204,2009,Benoni,01-04-09,Ireland,Scotland,Ireland,Field,Normal,No,Ireland,0,7,WTS Porterfield,Willowmoore Park,M Erasmus,AM Saheba,NA
390227,2009,Benoni,08-04-09,Canada,Scotland,Scotland,Field,Normal,No,Canada,148,0,A Bagai,Willowmoore Park,M Erasmus,RJ Tucker,NA
390253,2009,Benoni,19-04-09,Afghanistan,Scotland,Afghanistan,Bat,Normal,No,Afghanistan,89,0,Mohammad Nabi,Willowmoore Park,GAV Baxter,Enamul Haque,NA
392616,2009,NA,22-04-09,Australia,Pakistan,Australia,Bat,Normal,No,Pakistan,0,4,Shahid Afridi,Dubai Sports City Cricket Stadium,BF Bowden,Nadeem Ghauri,Asad Rauf
392617,2009,NA,24-04-09,Australia,Pakistan,Pakistan,Bat,Normal,No,Australia,0,6,A Symonds,Dubai Sports City Cricket Stadium,Asad Rauf,BF Bowden,Zameer Haider
392618,2009,Abu Dhabi,27-04-09,Australia,Pakistan,Australia,Bat,Normal,No,Australia,27,0,MJ Clarke,Sheikh Zayed Stadium,Asad Rauf,BF Bowden,Nadeem Ghauri
392619,2009,Abu Dhabi,01-05-09,Australia,Pakistan,Pakistan,Bat,Normal,No,Australia,0,8,DE Bollinger,Sheikh Zayed Stadium,Aleem Dar,BF Bowden,Zameer Haider
392620,2009,Abu Dhabi,03-05-09,Australia,Pakistan,Australia,Bat,Normal,No,Pakistan,0,7,Kamran Akmal,Sheikh Zayed Stadium,Aleem Dar,BF Bowden,Nadeem Ghauri
401073,2009,Dominica,26-07-09,West Indies,Bangladesh,West Indies,Field,Normal,No,Bangladesh,52,0,Abdur Razzak,Windsor Park,BR Doctrove,AL Hill,CR Duncan
401074,2009,Dominica,28-07-09,West Indies,Bangladesh,West Indies,Bat,Normal,No,Bangladesh,0,3,Shakib Al Hasan,Windsor Park,BR Doctrove,AL Hill,NA Malcolm
401075,2009,St Kitts,31-07-09,West Indies,Bangladesh,West Indies,Bat,Normal,No,Bangladesh,0,3,Mahmudullah,Warner Park,CR Duncan,AL Hill,NA Malcolm
403370,2009,NA,30-07-09,Sri Lanka,Pakistan,Pakistan,Field,Normal,No,Sri Lanka,36,0,M Muralitharan,Rangiri Dambulla International Stadium,SJ Davis,EAR de Silva,HDPK Dharmasena
403371,2009,NA,01-08-09,Sri Lanka,Pakistan,Sri Lanka,Field,Normal,No,Sri Lanka,0,6,CK Kapugedera,Rangiri Dambulla International Stadium,SJ Davis,HDPK Dharmasena,EAR de Silva
403372,2009,NA,03-08-09,Sri Lanka,Pakistan,Sri Lanka,Field,Normal,No,Sri Lanka,0,6,DPMD Jayawardene,Rangiri Dambulla International Stadium,SJ Davis,EAR de Silva,HDPK Dharmasena
403373,2009,Colombo,07-08-09,Sri Lanka,Pakistan,Pakistan,Bat,Normal,No,Pakistan,146,0,Umar Akmal,R Premadasa Stadium,SJ Davis,MG Silva,HDPK Dharmasena
403374,2009,Colombo,09-08-09,Sri Lanka,Pakistan,Pakistan,Bat,Normal,No,Pakistan,132,0,Naved-ul-Hasan,R Premadasa Stadium,SJ Davis,MG Silva,HDPK Dharmasena
403380,2009,Colombo,08-09-09,Sri Lanka,New Zealand,Sri Lanka,Bat,Normal,No,Sri Lanka,97,0,TT Samaraweera,R Premadasa Stadium,EAR de Silva,BR Doctrove,HDPK Dharmasena
403381,2009,Colombo,12-09-09,Sri Lanka,India,Sri Lanka,Bat,Normal,No,Sri Lanka,139,0,AD Mathews,R Premadasa Stadium,HDPK Dharmasena,BR Doctrove,MG Silva
403382,2009,Colombo,11-09-09,India,New Zealand,New Zealand,Bat,Normal,No,India,0,6,A Nehra,R Premadasa Stadium,HDPK Dharmasena,BR Doctrove,MG Silva
403383,2009,Colombo,14-09-09,Sri Lanka,India,India,Bat,Normal,No,India,46,0,SR Tendulkar,R Premadasa Stadium,EAR de Silva,BR Doctrove,HDPK Dharmasena
406192,2009/10,NA,07-02-10,Australia,West Indies,West Indies,Field,Normal,No,Australia,113,0,SR Watson,Melbourne Cricket Ground,BF Bowden,BNJ Oxenford,PR Reiffel
406193,2009/10,NA,09-02-10,Australia,West Indies,West Indies,Bat,Normal,No,Australia,0,8,DE Bollinger,Adelaide Oval,BF Bowden,BNJ Oxenford,PR Reiffel
406194,2009/10,NA,12-02-10,Australia,West Indies,West Indies,Field,Normal,No,NA,0,0,NA,Sydney Cricket Ground,BF Bowden,BNJ Oxenford,PR Reiffel
406195,2009/10,Brisbane,14-02-10,Australia,West Indies,West Indies,Field,Normal,No,Australia,50,0,RT Ponting,Brisbane Cricket Ground,BF Bowden,PR Reiffel,BNJ Oxenford
406196,2009/10,NA,19-02-10,Australia,West Indies,Australia,Bat,Normal,No,Australia,125,0,JR Hopes,Melbourne Cricket Ground,BF Bowden,BNJ Oxenford,PR Reiffel
